epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6626,1.02752,3.70584,1.25804,0.00708,0.5,0.04332,0.02187,0.85975,3.93714,1.07984,3.75e-05,3.75e-05,3.75e-05
2,20.9535,0.81801,3.45944,1.17933,0.01875,0.5,0.34821,0.2871,0.59224,3.83307,0.9441,8.57675e-05,8.57675e-05,8.57675e-05
3,28.7389,0.8271,3.15579,1.17238,0.0375,0.5,0.4975,0.44046,0.4653,3.75738,0.90272,0.000132055,0.000132055,0.000132055
4,36.6625,0.94723,2.86305,1.14528,0.04839,0.5,0.4975,0.45666,0.42312,3.59089,0.88708,0.000176362,0.000176362,0.000176362
5,44.5122,0.91088,2.48195,1.15732,1,0.45715,0.4975,0.44775,0.60284,3.32024,0.93665,0.00021869,0.00021869,0.00021869
6,52.3643,0.96358,2.29676,1.17909,1,0.37959,0.4975,0.46507,0.5597,3.08909,0.88889,0.000259038,0.000259038,0.000259038
7,60.2548,0.84603,1.942,1.11652,1,0.47645,0.4975,0.465,0.64414,2.74346,0.88856,0.000297405,0.000297405,0.000297405
8,68.1722,0.86811,1.96344,1.12259,0.96926,0.5,0.4975,0.46507,0.62517,2.79496,0.91068,0.000333792,0.000333792,0.000333792
9,76.4672,0.89138,1.8645,1.11523,0.99098,0.5,0.4975,0.47054,0.70457,2.97402,0.9607,0.0003682,0.0003682,0.0003682
10,84.5251,0.87984,1.70483,1.08947,1,0.47291,0.4975,0.45409,0.6886,3.05272,0.9465,0.000400628,0.000400628,0.000400628
11,92.5367,0.8635,1.7651,1.13792,1,0.46073,0.4975,0.47634,0.7236,3.1058,0.95801,0.000431075,0.000431075,0.000431075
12,100.447,0.86827,1.66574,1.06241,0.94505,0.5,0.4975,0.48205,0.62353,3.17121,0.88383,0.000459543,0.000459543,0.000459543
13,108.345,0.90771,1.72021,1.12322,1,0.32676,0.4975,0.4975,0.69116,3.23683,0.93192,0.00048603,0.00048603,0.00048603
14,116.938,0.88137,1.5978,1.17657,0.95226,0.5,0.4975,0.48205,0.72839,3.03307,0.95093,0.000510537,0.000510537,0.000510537
15,125.5,0.86954,1.51682,1.06223,0.98028,0.5,0.4975,0.44775,0.76131,2.57854,0.93461,0.000533065,0.000533065,0.000533065
16,133.873,0.82213,1.61139,1.07837,0.98028,0.5,0.4975,0.44775,0.76131,2.57854,0.93461,0.000553613,0.000553613,0.000553613
17,142.173,0.84355,1.51158,1.0861,0.99125,0.5,0.4975,0.40697,1.01231,2.28175,1.00413,0.00057218,0.00057218,0.00057218
18,150.512,0.86768,1.46257,1.08387,0.99355,0.5,0.4975,0.41525,1.03429,1.99341,1.00687,0.000588767,0.000588767,0.000588767
19,158.644,0.90584,1.51817,1.12007,0.99355,0.5,0.4975,0.41525,1.03429,1.99341,1.00687,0.000603375,0.000603375,0.000603375
20,166.713,0.74958,1.52098,1.0437,0.99162,0.5,0.4975,0.41501,1.07736,2.09046,1.01265,0.000616003,0.000616003,0.000616003
21,174.737,0.92282,1.40578,1.02602,0.99748,0.5,0.4975,0.42599,0.91343,2.10623,0.99371,0.00062665,0.00062665,0.00062665
22,182.608,0.78664,1.43313,1.07935,0.99748,0.5,0.4975,0.42599,0.91343,2.10623,0.99371,0.000635318,0.000635318,0.000635318
23,190.49,0.83438,1.4966,1.08101,0.99784,0.5,0.4975,0.42043,0.74783,1.99861,0.93879,0.000642005,0.000642005,0.000642005
24,198.316,0.97132,1.49888,1.0638,0.99784,0.5,0.4975,0.42043,0.74783,1.99861,0.93879,0.000646713,0.000646713,0.000646713
25,206.171,0.82943,1.57707,1.02862,0.99198,0.5,0.4975,0.46474,0.5963,1.82337,0.86978,0.00064944,0.00064944,0.00064944
26,214.086,0.80853,1.43963,1.07523,0.99198,0.5,0.4975,0.46474,0.5963,1.82337,0.86978,0.00063125,0.00063125,0.00063125
27,222.062,0.79044,1.33579,1.02305,0.99747,0.5,0.4975,0.46467,0.56817,1.82011,0.86158,0.0006065,0.0006065,0.0006065
28,229.885,0.84376,1.37994,1.04409,0.99747,0.5,0.4975,0.46467,0.56817,1.82011,0.86158,0.00058175,0.00058175,0.00058175
29,237.802,0.83088,1.38371,1.04704,0.99625,0.5,0.4975,0.43138,0.7208,1.80033,0.87032,0.000557,0.000557,0.000557
30,245.662,0.72946,1.35705,1.03134,0.99625,0.5,0.4975,0.43138,0.7208,1.80033,0.87032,0.00053225,0.00053225,0.00053225
31,253.465,0.7651,1.38393,1.00993,0.99264,0.5,0.49942,0.4489,0.88906,1.86002,0.95283,0.0005075,0.0005075,0.0005075
32,261.229,0.72825,1.36743,1.01037,0.99264,0.5,0.49942,0.4489,0.88906,1.86002,0.95283,0.00048275,0.00048275,0.00048275
33,268.995,0.77401,1.27782,0.97751,0.99311,0.5,0.4975,0.43136,0.78266,1.78137,0.92874,0.000458,0.000458,0.000458
34,276.775,0.79289,1.38523,0.98445,0.99311,0.5,0.4975,0.43136,0.78266,1.78137,0.92874,0.00043325,0.00043325,0.00043325
35,284.546,0.78493,1.3787,1.05568,0.99382,0.5,0.4975,0.43136,0.77353,1.83796,0.95359,0.0004085,0.0004085,0.0004085
36,292.284,0.8779,1.37618,1.05338,0.99382,0.5,0.4975,0.43136,0.77353,1.83796,0.95359,0.00038375,0.00038375,0.00038375
37,300.18,0.70799,1.17427,0.97699,0.99368,0.5,0.4975,0.44822,0.70516,1.82501,0.92372,0.000359,0.000359,0.000359
38,308.029,0.91401,1.5603,1.07231,0.99368,0.5,0.4975,0.44822,0.70516,1.82501,0.92372,0.00033425,0.00033425,0.00033425
39,315.785,0.69477,1.21615,0.97168,0.99361,0.5,0.62167,0.5267,0.65396,1.76353,0.8983,0.0003095,0.0003095,0.0003095
40,323.553,0.74092,1.22064,1.01702,0.99361,0.5,0.62167,0.5267,0.65396,1.76353,0.8983,0.00028475,0.00028475,0.00028475
41,331.375,0.73743,1.50181,1.06713,0.9934,0.5,0.62168,0.5267,0.68009,1.80755,0.91298,0.00026,0.00026,0.00026
42,339.163,0.67154,1.53242,0.98492,0.9934,0.5,0.62168,0.5267,0.68009,1.80755,0.91298,0.00023525,0.00023525,0.00023525
43,347.313,0.63661,1.42029,0.96591,0.99372,0.5,0.62169,0.53911,0.65973,1.86066,0.89583,0.0002105,0.0002105,0.0002105
